Tower;SLA Number;SLA Name;Penalty(€);Earnback(€)
Cloud;;;0.00;0.00
;SLA 1.01C-3;Incident Resolution Time SM: Cloud - Sev3;0.00;0.00
;SLA 1.01C-4;Incident Resolution Time SM: Cloud - Sev4;0.00;0.00
;SLA 1.03C-1-4;Resolution Time for Service Request SM: Cloud - Sev1-4;0.00;0.00
;SLA 1.04C-1;Incident Response Time SM: Cloud - Sev1;0.00;0.00
;SLA 1.04C-2;Incident Response Time SM: Cloud - Sev2;0.00;0.00
;SLA 1.04C-3;Incident Response Time SM: Cloud - Sev3;0.00;0.00
;SLA 1.04C-4;Incident Response Time SM: Cloud - Sev4;0.00;0.00
;SLA 2.01C-1;Application Availability Cloud - Platinum;0.00;0.00
;SLA 2.01C-2;Application Availability Cloud - Gold;0.00;0.00
;SLA 2.01C-3;Application Availability Cloud - Silver;0.00;0.00
;SLA 2.01C-4;Application Availability Cloud - Bronze;0.00;0.00
;SLA 2.02C-1;Platform Availability Cloud - Platinum;0.00;0.00
;SLA 2.02C-2;Platform Availability Cloud - Gold;0.00;0.00
;SLA 2.02C-3;Platform Availability Cloud - Silver;0.00;0.00
;SLA 2.02C-4;Platform Availability Cloud - Bronze;0.00;0.00
;SLA 2.04C-1;Maximum Downtime Cloud - Platinum;0.00;0.00
;SLA 2.04C-2;Maximum Downtime Cloud - Gold;0.00;0.00
;SLA 2.04C-3;Maximum Downtime Cloud - Silver;0.00;0.00
;SLA 2.04C-4;Maximum Downtime Cloud - Bronze;0.00;0.00
;SLA 4.08C;Service Quotation Reaction Time SM: Cloud;0.00;0.00
;SLA 6.00C;Maximum Number of Data Loss regarding Restore and Recovery Cloud;2500.00;0.00
;SLA 6.02C;Recovery Point Objective;0.00;0.00
;SLA 6.03C;Recovery Time Objective;0.00;0.00
EDC;;;5,945.20;0.00
;SLA 1.01SF;Solution Rate Incident SM: EDC - Sev1-2;0.00;0.00
;SLA 1.03SF;Solution Rate Incident SM: EDC Sev3-4;0.00;0.00
;SLA 2.00F-1;Application and Service Availability EDC - Platinum;0.00;0.00
;SLA 2.00F-2;Application and Service Availability EDC - Gold;0.00;0.00
;SLA 2.00F-3;Application and Service Availability EDC - Silver;0.00;0.00
;SLA 2.00F-4;Application and Service Availability EDC - Bronze;0.00;0.00
;SLA 2.01F-2;SAP Application Availability EDC - Gold;0.00;0.00
;SLA 2.01F-4;SAP Application Availability EDC - Bronze;0.00;0.00
;SLA 2.02F-1;Platform Availability EDC - Platinum;0.00;0.00
;SLA 2.02F-2;Platform Availability EDC - Gold;0.00;0.00
;SLA 2.02F-3;Platform Availability EDC - Silver;0.00;0.00
;SLA 2.02F-4;Platform Availability EDC - Bronze;0.00;0.00
;SLA 2.03F-1;Maximum Number of Service Downtimes EDC - Platinum;0.00;0.00
;SLA 2.03F-2;Maximum Number of Service Downtimes EDC - Gold;0.00;0.00
;SLA 2.03F-3;Maximum Number of Service Downtimes EDC - Silver;0.00;0.00
;SLA 2.03F-4;Maximum Number of Service Downtimes EDC - Bronze;0.00;0.00
;SLA 2.04F-1;Maximum Downtime EDC - Platinum;0.00;0.00
;SLA 2.04F-2;Maximum Downtime EDC - Gold;0.00;0.00
;SLA 2.04F-3;Maximum Downtime EDC - Silver;0.00;0.00
;SLA 2.04F-4;Maximum Downtime EDC - Bronze;0.00;0.00
;SLA 2.05F-1;Terminal Server Farm Availability EDC - Platinum;0.00;0.00
;SLA 2.06F-1;Business Application Performance EDC - Platinum;0.00;0.00
;SLA 2.06F-2;Business Application Performance EDC - Gold;0.00;0.00
;SLA 2.06F-3;Business Application Performance EDC - Silver;0.00;0.00
;SLA 2.06F-4;Business Application Performance EDC - Bronze;0.00;0.00
;SLA 2.08F-A;Lead Time for Server and Storage Provisioning EDC - Virtual Server Provision 1 (Fast Path) (4h);411.25;0.00
;SLA 2.08F-B;Lead Time for Server and Storage Provisioning EDC - Server Provision 2 (RfS);0.00;0.00
;SLA 2.08F-C;Lead Time for Server and Storage Provisioning EDC - ADDITIONAL Citrix Terminal Server (8BD);0.00;0.00
;SLA 2.08F-D;Lead Time for Server and Storage Provisioning EDC - Storage Provision (RfS);0.00;0.00
;SLA 2.09F;EMM Processing Time for Orders + IMACS EDC;47.00;0.00
;SLA 2.10F;EMM Processing Time for Incidents and Service Requests EDC;141.00;0.00
;SLA 3.01SF;Success Rate of Conducted Changes SM: EDC;158.75;0.00
;SLA 3.02SF;Processing Time for Pre-defined Standard Service Requests SM: EDC;0.00;0.00
;SLA 4.08SF;RfS Reaction Time SM: EDC;0.00;0.00
;SLA 4.09SF;RfS Fulfillment Time SM: EDC;0.00;0.00
;SLA 6.00F-1;Maximum Number of Data Loss regarding Restore and Recovery EDC - Platinum;0.00;0.00
;SLA 6.00F-2;Maximum Number of Data Loss regarding Restore and Recovery EDC - Gold;0.00;0.00
;SLA 6.00F-3;Maximum Number of Data Loss regarding Restore and Recovery EDC - Silver;0.00;0.00
;SLA 6.00F-4;Maximum Number of Data Loss regarding Restore and Recovery EDC - Bronze;0.00;0.00
;SLA 7.00F-A;Security Software and Patches Distribution Execution and Installation EDC - High Priority;0.00;0.00
;SLA 7.00F-B;Security Software and Patches Distribution Execution and Installation EDC - Other Distributions;1000.00;0.00
;;;0.00;0.00
Service Level Credit Total;;;5,945.20;0.00